flightNumber,departureAirportCode,departureAirportName,arrivalAirportCode,arrivalAirportName,departureDate,arrivalDate,carrierCode,duration_formatted,price,hasDiscount,fareType,availableSeats,flightKey
FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-05-17T13:10:00.000,2023-05-17T17:45:00.000,,03:35,143.32,False,ADT,-1,FR~8577~ ~~CRL~05/17/2023 13:10~RHO~05/17/2023 17:45~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-17T16:35:00.000,2023-05-17T18:50:00.000,,02:15,165.27,False,ADT,4,FR~1302~ ~~CRL~05/17/2023 16:35~NAP~05/17/2023 18:50~~
FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-05-17T09:25:00.000,2023-05-17T11:55:00.000,Malta Air,02:30,105.99,True,ADT,5,FR~6269~ ~~CRL~05/17/2023 09:25~PMO~05/17/2023 11:55~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-17T12:25:00.000,2023-05-17T14:20:00.000,,02:55,155.27,False,ADT,-1,FR~2941~ ~~CRL~05/17/2023 12:25~FAO~05/17/2023 14:20~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-17T10:00:00.000,2023-05-17T12:25:00.000,,02:25,153.99,True,ADT,4,FR~3534~ ~~CRL~05/17/2023 10:00~ALC~05/17/2023 12:25~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-17T06:45:00.000,2023-05-17T09:30:00.000,,02:45,128.87,False,ADT,-1,FR~1916~ ~~CRL~05/17/2023 06:45~AGP~05/17/2023 09:30~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-18T06:25:00.000,2023-05-18T08:40:00.000,,02:15,201.68,True,ADT,4,FR~1302~ ~~CRL~05/18/2023 06:25~NAP~05/18/2023 08:40~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-18T11:25:00.000,2023-05-18T13:20:00.000,,02:55,181.49,True,ADT,-1,FR~2941~ ~~CRL~05/18/2023 11:25~FAO~05/18/2023 13:20~~
FR 9053,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-18T09:00:00.000,2023-05-18T11:25:00.000,,02:25,176.4,False,ADT,-1,FR~9053~ ~~CRL~05/18/2023 09:00~ALC~05/18/2023 11:25~~
FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-05-18T10:20:00.000,2023-05-18T12:45:00.000,,02:25,313.28,False,ADT,5,FR~6456~ ~~CRL~05/18/2023 10:20~IBZ~05/18/2023 12:45~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-18T17:30:00.000,2023-05-18T20:15:00.000,,02:45,197.24,False,ADT,4,FR~1916~ ~~CRL~05/18/2023 17:30~AGP~05/18/2023 20:15~~
FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-05-18T20:00:00.000,2023-05-18T23:35:00.000,,04:35,115.44,False,ADT,5,FR~ 563~ ~~CRL~05/18/2023 20:00~TFS~05/18/2023 23:35~~
FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-05-19T07:55:00.000,2023-05-19T12:30:00.000,,03:35,100.46,True,ADT,-1,FR~8577~ ~~CRL~05/19/2023 07:55~RHO~05/19/2023 12:30~~
FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-05-19T07:00:00.000,2023-05-19T09:25:00.000,,02:25,136.36,False,ADT,-1,FR~7737~ ~~CRL~05/19/2023 07:00~BDS~05/19/2023 09:25~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-19T09:10:00.000,2023-05-19T11:25:00.000,Malta Air,02:15,129.38,False,ADT,3,FR~1302~ ~~CRL~05/19/2023 09:10~NAP~05/19/2023 11:25~~
FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-05-19T16:35:00.000,2023-05-19T19:05:00.000,,02:30,111.99,True,ADT,1,FR~6269~ ~~CRL~05/19/2023 16:35~PMO~05/19/2023 19:05~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-19T07:05:00.000,2023-05-19T09:00:00.000,,02:55,100.59,False,ADT,-1,FR~2941~ ~~CRL~05/19/2023 07:05~FAO~05/19/2023 09:00~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-19T09:45:00.000,2023-05-19T12:10:00.000,,02:25,136.47,True,ADT,3,FR~3534~ ~~CRL~05/19/2023 09:45~ALC~05/19/2023 12:10~~
FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-05-19T16:15:00.000,2023-05-19T18:40:00.000,,02:25,109.73,False,ADT,5,FR~6456~ ~~CRL~05/19/2023 16:15~IBZ~05/19/2023 18:40~~
FR 1928,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-19T10:00:00.000,2023-05-19T12:45:00.000,,02:45,155.39,True,ADT,-1,FR~1928~ ~~CRL~05/19/2023 10:00~AGP~05/19/2023 12:45~~
FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-05-19T06:20:00.000,2023-05-19T09:55:00.000,,04:35,115.44,False,ADT,1,FR~ 563~ ~~CRL~05/19/2023 06:20~TFS~05/19/2023 09:55~~
FR 7986,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-05-20T08:10:00.000,2023-05-20T12:35:00.000,,03:25,155.55,False,ADT,1,FR~7986~ ~~CRL~05/20/2023 08:10~HER~05/20/2023 12:35~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-20T07:45:00.000,2023-05-20T10:00:00.000,,02:15,62.94,True,ADT,2,FR~1302~ ~~CRL~05/20/2023 07:45~NAP~05/20/2023 10:00~~
FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-05-20T21:30:00.000,2023-05-20T23:59:00.000,Malta Air,02:29,68.99,False,ADT,-1,FR~6269~ ~~CRL~05/20/2023 21:30~PMO~05/20/2023 23:59~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-20T11:05:00.000,2023-05-20T13:00:00.000,,02:55,73.24,False,ADT,-1,FR~2941~ ~~CRL~05/20/2023 11:05~FAO~05/20/2023 13:00~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-20T15:50:00.000,2023-05-20T18:15:00.000,,02:25,99.8,False,ADT,-1,FR~3534~ ~~CRL~05/20/2023 15:50~ALC~05/20/2023 18:15~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-20T13:40:00.000,2023-05-20T16:25:00.000,,02:45,96.99,False,ADT,-1,FR~1916~ ~~CRL~05/20/2023 13:40~AGP~05/20/2023 16:25~~
FR 2923,BRU,Brussels,AGP,Malaga,2023-05-21T09:55:00.000,2023-05-21T12:50:00.000,,02:55,67.19,False,ADT,5,FR~2923~ ~~BRU~05/21/2023 09:55~AGP~05/21/2023 12:50~~
FR 6251,CRL,Brussels (Charleroi),CFU,Corfu,2023-05-21T17:00:00.000,2023-05-21T20:40:00.000,,02:40,115.74,True,ADT,1,FR~6251~ ~~CRL~05/21/2023 17:00~CFU~05/21/2023 20:40~~
FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-05-21T17:30:00.000,2023-05-21T19:55:00.000,,02:25,38.28,False,ADT,1,FR~7737~ ~~CRL~05/21/2023 17:30~BDS~05/21/2023 19:55~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-21T09:45:00.000,2023-05-21T12:00:00.000,Malta Air,02:15,59.04,False,ADT,-1,FR~1302~ ~~CRL~05/21/2023 09:45~NAP~05/21/2023 12:00~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-21T16:45:00.000,2023-05-21T18:40:00.000,,02:55,53.74,False,ADT,-1,FR~2941~ ~~CRL~05/21/2023 16:45~FAO~05/21/2023 18:40~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-21T09:55:00.000,2023-05-21T12:20:00.000,,02:25,94.99,False,ADT,-1,FR~3534~ ~~CRL~05/21/2023 09:55~ALC~05/21/2023 12:20~~
FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-05-21T07:30:00.000,2023-05-21T09:55:00.000,,02:25,43.71,True,ADT,-1,FR~6456~ ~~CRL~05/21/2023 07:30~IBZ~05/21/2023 09:55~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-21T21:30:00.000,2023-05-22T00:15:00.000,,02:45,34.59,False,ADT,-1,FR~1916~ ~~CRL~05/21/2023 21:30~AGP~05/22/2023 00:15~~
FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-05-21T12:35:00.000,2023-05-21T16:10:00.000,,04:35,113.29,False,ADT,-1,FR~ 563~ ~~CRL~05/21/2023 12:35~TFS~05/21/2023 16:10~~
FR 2923,BRU,Brussels,AGP,Malaga,2023-05-22T17:40:00.000,2023-05-22T20:30:00.000,,02:50,68.8,False,ADT,-1,FR~2923~ ~~BRU~05/22/2023 17:40~AGP~05/22/2023 20:30~~
FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-05-22T12:00:00.000,2023-05-22T16:35:00.000,,03:35,77.03,False,ADT,3,FR~8577~ ~~CRL~05/22/2023 12:00~RHO~05/22/2023 16:35~~
FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-05-22T20:55:00.000,2023-05-22T23:20:00.000,Malta Air,02:25,21.99,False,ADT,-1,FR~7737~ ~~CRL~05/22/2023 20:55~BDS~05/22/2023 23:20~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-22T06:30:00.000,2023-05-22T08:45:00.000,,02:15,33.95,True,ADT,-1,FR~1302~ ~~CRL~05/22/2023 06:30~NAP~05/22/2023 08:45~~
FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-05-22T12:05:00.000,2023-05-22T14:35:00.000,,02:30,84.99,False,ADT,-1,FR~6269~ ~~CRL~05/22/2023 12:05~PMO~05/22/2023 14:35~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-22T18:00:00.000,2023-05-22T19:55:00.000,,02:55,35.63,True,ADT,-1,FR~2941~ ~~CRL~05/22/2023 18:00~FAO~05/22/2023 19:55~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-22T16:55:00.000,2023-05-22T19:20:00.000,,02:25,76.39,False,ADT,5,FR~3534~ ~~CRL~05/22/2023 16:55~ALC~05/22/2023 19:20~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-22T19:20:00.000,2023-05-22T22:05:00.000,,02:45,31.71,True,ADT,-1,FR~1916~ ~~CRL~05/22/2023 19:20~AGP~05/22/2023 22:05~~
FR 7986,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-05-23T07:20:00.000,2023-05-23T11:45:00.000,,03:25,113.29,False,ADT,-1,FR~7986~ ~~CRL~05/23/2023 07:20~HER~05/23/2023 11:45~~
FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-05-23T17:20:00.000,2023-05-23T19:45:00.000,,02:25,36.77,True,ADT,3,FR~7737~ ~~CRL~05/23/2023 17:20~BDS~05/23/2023 19:45~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-23T19:20:00.000,2023-05-23T21:35:00.000,Malta Air,02:15,25.93,True,ADT,-1,FR~1302~ ~~CRL~05/23/2023 19:20~NAP~05/23/2023 21:35~~
FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-05-23T15:35:00.000,2023-05-23T18:05:00.000,,02:30,74.99,False,ADT,-1,FR~6269~ ~~CRL~05/23/2023 15:35~PMO~05/23/2023 18:05~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-23T13:45:00.000,2023-05-23T15:40:00.000,,02:55,30.39,False,ADT,3,FR~2941~ ~~CRL~05/23/2023 13:45~FAO~05/23/2023 15:40~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-23T06:30:00.000,2023-05-23T08:55:00.000,,02:25,65.87,False,ADT,4,FR~3534~ ~~CRL~05/23/2023 06:30~ALC~05/23/2023 08:55~~
FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-05-23T09:25:00.000,2023-05-23T11:50:00.000,,02:25,104.42,False,ADT,2,FR~6456~ ~~CRL~05/23/2023 09:25~IBZ~05/23/2023 11:50~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-23T16:00:00.000,2023-05-23T18:45:00.000,,02:45,32.63,False,ADT,-1,FR~1916~ ~~CRL~05/23/2023 16:00~AGP~05/23/2023 18:45~~
FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-05-23T07:15:00.000,2023-05-23T10:50:00.000,,04:35,70.7,False,ADT,5,FR~ 563~ ~~CRL~05/23/2023 07:15~TFS~05/23/2023 10:50~~
FR 2923,BRU,Brussels,AGP,Malaga,2023-05-24T10:05:00.000,2023-05-24T13:00:00.000,,02:55,71.85,True,ADT,1,FR~2923~ ~~BRU~05/24/2023 10:05~AGP~05/24/2023 13:00~~
FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-05-24T13:10:00.000,2023-05-24T17:45:00.000,,03:35,82.72,False,ADT,-1,FR~8577~ ~~CRL~05/24/2023 13:10~RHO~05/24/2023 17:45~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-24T16:35:00.000,2023-05-24T18:50:00.000,,02:15,25.67,True,ADT,-1,FR~1302~ ~~CRL~05/24/2023 16:35~NAP~05/24/2023 18:50~~
FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-05-24T09:25:00.000,2023-05-24T11:55:00.000,Malta Air,02:30,86.99,False,ADT,-1,FR~6269~ ~~CRL~05/24/2023 09:25~PMO~05/24/2023 11:55~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-24T12:25:00.000,2023-05-24T14:20:00.000,,02:55,31.71,True,ADT,-1,FR~2941~ ~~CRL~05/24/2023 12:25~FAO~05/24/2023 14:20~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-24T10:00:00.000,2023-05-24T12:25:00.000,,02:25,64.49,True,ADT,-1,FR~3534~ ~~CRL~05/24/2023 10:00~ALC~05/24/2023 12:25~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-24T06:45:00.000,2023-05-24T09:30:00.000,,02:45,57.59,False,ADT,3,FR~1916~ ~~CRL~05/24/2023 06:45~AGP~05/24/2023 09:30~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-25T06:25:00.000,2023-05-25T08:40:00.000,,02:15,46.39,True,ADT,2,FR~1302~ ~~CRL~05/25/2023 06:25~NAP~05/25/2023 08:40~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-25T11:25:00.000,2023-05-25T13:20:00.000,,02:55,76.39,False,ADT,5,FR~2941~ ~~CRL~05/25/2023 11:25~FAO~05/25/2023 13:20~~
FR 9053,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-25T09:00:00.000,2023-05-25T11:25:00.000,,02:25,65.19,True,ADT,-1,FR~9053~ ~~CRL~05/25/2023 09:00~ALC~05/25/2023 11:25~~
FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-05-25T10:20:00.000,2023-05-25T12:45:00.000,,02:25,232.78,True,ADT,-1,FR~6456~ ~~CRL~05/25/2023 10:20~IBZ~05/25/2023 12:45~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-25T17:30:00.000,2023-05-25T20:15:00.000,,02:45,76.74,True,ADT,-1,FR~1916~ ~~CRL~05/25/2023 17:30~AGP~05/25/2023 20:15~~
FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-05-25T20:00:00.000,2023-05-25T23:35:00.000,,04:35,93.11,False,ADT,-1,FR~ 563~ ~~CRL~05/25/2023 20:00~TFS~05/25/2023 23:35~~
FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-05-26T07:55:00.000,2023-05-26T12:30:00.000,,03:35,66.31,True,ADT,3,FR~8577~ ~~CRL~05/26/2023 07:55~RHO~05/26/2023 12:30~~
FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-05-26T07:00:00.000,2023-05-26T09:25:00.000,,02:25,190.33,False,ADT,1,FR~7737~ ~~CRL~05/26/2023 07:00~BDS~05/26/2023 09:25~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-26T09:10:00.000,2023-05-26T11:25:00.000,Malta Air,02:15,70.13,False,ADT,-1,FR~1302~ ~~CRL~05/26/2023 09:10~NAP~05/26/2023 11:25~~
FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-05-26T16:35:00.000,2023-05-26T19:05:00.000,,02:30,117.99,True,ADT,4,FR~6269~ ~~CRL~05/26/2023 16:35~PMO~05/26/2023 19:05~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-26T07:05:00.000,2023-05-26T09:00:00.000,,02:55,90.99,False,ADT,-1,FR~2941~ ~~CRL~05/26/2023 07:05~FAO~05/26/2023 09:00~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-26T09:45:00.000,2023-05-26T12:10:00.000,,02:25,82.74,False,ADT,-1,FR~3534~ ~~CRL~05/26/2023 09:45~ALC~05/26/2023 12:10~~
FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-05-26T16:15:00.000,2023-05-26T18:40:00.000,,02:25,111.5,False,ADT,-1,FR~6456~ ~~CRL~05/26/2023 16:15~IBZ~05/26/2023 18:40~~
FR 1928,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-26T10:00:00.000,2023-05-26T12:45:00.000,,02:45,116.79,True,ADT,-1,FR~1928~ ~~CRL~05/26/2023 10:00~AGP~05/26/2023 12:45~~
FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-05-26T06:20:00.000,2023-05-26T09:55:00.000,,04:35,113.29,False,ADT,-1,FR~ 563~ ~~CRL~05/26/2023 06:20~TFS~05/26/2023 09:55~~
FR 7986,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-05-27T08:10:00.000,2023-05-27T12:35:00.000,,03:25,178.05,False,ADT,-1,FR~7986~ ~~CRL~05/27/2023 08:10~HER~05/27/2023 12:35~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-27T07:45:00.000,2023-05-27T10:00:00.000,,02:15,84.55,False,ADT,3,FR~1302~ ~~CRL~05/27/2023 07:45~NAP~05/27/2023 10:00~~
FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-05-27T21:30:00.000,2023-05-27T23:59:00.000,Malta Air,02:29,71.99,False,ADT,5,FR~6269~ ~~CRL~05/27/2023 21:30~PMO~05/27/2023 23:59~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-27T11:05:00.000,2023-05-27T13:00:00.000,,02:55,154.09,False,ADT,-1,FR~2941~ ~~CRL~05/27/2023 11:05~FAO~05/27/2023 13:00~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-27T15:50:00.000,2023-05-27T18:15:00.000,,02:25,62.12,False,ADT,1,FR~3534~ ~~CRL~05/27/2023 15:50~ALC~05/27/2023 18:15~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-27T13:40:00.000,2023-05-27T16:25:00.000,,02:45,96.99,False,ADT,4,FR~1916~ ~~CRL~05/27/2023 13:40~AGP~05/27/2023 16:25~~
FR 2923,BRU,Brussels,AGP,Malaga,2023-05-28T09:55:00.000,2023-05-28T12:50:00.000,,02:55,77.57,False,ADT,3,FR~2923~ ~~BRU~05/28/2023 09:55~AGP~05/28/2023 12:50~~
FR 6251,CRL,Brussels (Charleroi),CFU,Corfu,2023-05-28T17:00:00.000,2023-05-28T20:40:00.000,,02:40,101.39,False,ADT,2,FR~6251~ ~~CRL~05/28/2023 17:00~CFU~05/28/2023 20:40~~
FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-05-28T17:30:00.000,2023-05-28T19:55:00.000,,02:25,56.34,False,ADT,-1,FR~7737~ ~~CRL~05/28/2023 17:30~BDS~05/28/2023 19:55~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-28T09:45:00.000,2023-05-28T12:00:00.000,Malta Air,02:15,45.48,False,ADT,4,FR~1302~ ~~CRL~05/28/2023 09:45~NAP~05/28/2023 12:00~~
