flightNumber,departureAirportCode,departureAirportName,arrivalAirportCode,arrivalAirportName,departureDate,arrivalDate,carrierCode,duration_formatted,price,hasDiscount,fareType,availableSeats,flightKey
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-28T16:45:00.000,2023-05-28T18:40:00.000,,02:55,48.79,True,ADT,-1,FR~2941~ ~~CRL~05/28/2023 16:45~FAO~05/28/2023 18:40~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-28T09:55:00.000,2023-05-28T12:20:00.000,,02:25,88.74,False,ADT,-1,FR~3534~ ~~CRL~05/28/2023 09:55~ALC~05/28/2023 12:20~~
FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-05-28T07:30:00.000,2023-05-28T09:55:00.000,,02:25,129.38,False,ADT,5,FR~6456~ ~~CRL~05/28/2023 07:30~IBZ~05/28/2023 09:55~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-28T21:30:00.000,2023-05-29T00:15:00.000,,02:45,32.35,False,ADT,-1,FR~1916~ ~~CRL~05/28/2023 21:30~AGP~05/29/2023 00:15~~
FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-05-28T12:35:00.000,2023-05-28T16:10:00.000,,04:35,119.31,False,ADT,2,FR~ 563~ ~~CRL~05/28/2023 12:35~TFS~05/28/2023 16:10~~
FR 2923,BRU,Brussels,AGP,Malaga,2023-05-29T17:40:00.000,2023-05-29T20:30:00.000,,02:50,40.27,True,ADT,-1,FR~2923~ ~~BRU~05/29/2023 17:40~AGP~05/29/2023 20:30~~
FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-05-29T12:00:00.000,2023-05-29T16:35:00.000,,03:35,50.94,False,ADT,-1,FR~8577~ ~~CRL~05/29/2023 12:00~RHO~05/29/2023 16:35~~
FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-05-29T20:55:00.000,2023-05-29T23:20:00.000,Malta Air,02:25,21.99,False,ADT,-1,FR~7737~ ~~CRL~05/29/2023 20:55~BDS~05/29/2023 23:20~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-29T06:30:00.000,2023-05-29T08:45:00.000,,02:15,24.99,False,ADT,1,FR~1302~ ~~CRL~05/29/2023 06:30~NAP~05/29/2023 08:45~~
FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-05-29T12:05:00.000,2023-05-29T14:35:00.000,,02:30,80.99,False,ADT,-1,FR~6269~ ~~CRL~05/29/2023 12:05~PMO~05/29/2023 14:35~~
